Mức độ tự tin,Chất lượng giấc ngủ,Áp lực học tập,Lo âu tương lai,Mức độ bị bắt nạt,Hỗ trợ xã hội,Mức độ Stress
20,2,2,3,2,2,1
8,1,4,5,5,1,2
18,2,3,2,2,2,1
12,1,4,4,5,1,2
28,5,3,2,5,1,1
13,1,5,5,5,1,2
26,4,1,1,1,3,0
3,1,3,4,5,1,2
22,2,3,3,2,3,1
8,1,2,5,4,1,1
12,1,3,4,5,1,2
15,1,3,4,4,1,2
28,4,2,1,1,3,0
23,1,2,3,1,0,2
28,4,2,1,1,3,0
21,2,3,3,2,2,1
28,4,1,1,1,3,0
25,4,2,1,1,3,0
23,2,3,2,3,3,1
1,1,5,5,5,1,2
27,4,2,1,1,3,0
1,1,5,4,5,1,2
27,4,2,1,1,3,0
5,1,3,4,4,1,2
21,2,2,2,2,3,1
26,5,1,1,1,3,0
6,1,3,4,4,1,2
28,3,0,2,2,1,0
23,3,2,2,3,3,1
6,1,3,4,4,1,2
27,5,2,1,1,3,0
8,0,4,4,1,1,1
9,1,3,4,4,1,2
23,2,3,2,3,2,1
25,4,2,1,1,3,0
22,2,3,2,2,2,1
21,3,2,2,3,2,1
27,5,2,1,1,3,0
6,1,4,4,4,1,2
25,5,1,1,1,3,0
29,5,2,1,1,3,0
30,4,2,1,1,3,0
27,5,1,1,1,3,0
9,1,3,4,4,1,2
4,1,3,5,4,1,2
30,5,2,1,1,3,0
1,1,4,4,4,1,2
27,4,2,1,1,3,0
19,2,2,3,2,2,1
26,5,2,1,1,3,0
27,4,1,1,1,3,0
16,3,2,3,3,2,1
29,4,2,1,1,3,0
2,1,3,4,5,1,2
23,3,3,3,3,2,1
23,2,3,2,2,3,1
18,2,2,2,2,3,1
28,5,1,1,1,3,0
29,4,2,1,1,3,0
27,4,2,1,1,3,0
28,4,1,1,1,3,0
29,0,0,5,2,1,1
27,4,1,1,1,3,0
23,2,3,3,3,3,1
0,5,0,4,1,0,0
25,4,2,1,1,3,0
14,1,4,5,5,1,2
21,3,3,2,2,3,1
23,2,3,2,3,3,1
26,3,2,5,2,1,1
30,5,1,1,1,3,0
15,1,5,4,4,1,2
26,4,1,1,1,3,0
30,4,1,1,1,3,0
7,1,4,4,4,1,2
5,1,5,5,4,1,2
5,1,5,4,4,1,2
29,5,1,1,1,3,0
17,2,3,2,2,2,1
13,1,4,5,4,1,2
26,5,1,1,1,3,0
21,2,3,3,2,2,1
15,1,4,5,5,1,2
26,4,2,1,1,3,0
15,3,2,3,2,3,1
24,2,2,2,3,2,1
22,3,2,3,3,3,1
3,1,5,5,5,1,2
18,3,3,3,3,3,1
12,1,4,5,4,1,2
19,2,3,3,3,2,1
11,1,5,4,4,1,2
1,1,4,5,4,1,2
23,5,4,5,0,1,2
0,5,5,2,1,1,0
7,3,5,3,2,0,1
14,1,4,5,5,1,2
7,1,3,4,5,1,2
27,5,1,1,1,3,0
23,3,3,2,3,2,1
3,4,0,2,1,0,1
3,4,2,2,0,0,1
17,2,2,3,2,3,1
15,2,2,2,2,2,1
29,4,1,1,1,3,0
26,5,2,1,1,3,0
11,1,3,5,4,1,2
28,4,2,1,1,3,0
9,1,5,5,4,1,2
6,1,3,4,5,1,2
29,5,1,1,1,3,0
4,1,3,5,5,1,2
27,4,1,1,1,3,0
24,2,3,3,3,2,1
2,4,2,3,1,1,2
12,1,5,4,4,1,2
21,3,3,3,3,2,1
7,1,3,5,5,1,2
8,1,5,5,5,1,2
23,2,2,2,3,3,1
28,4,1,1,1,3,0
0,1,4,5,5,1,2
29,4,1,1,1,3,0
20,3,2,3,3,2,1
20,2,2,3,3,2,1
16,4,3,1,2,1,0
15,3,2,3,2,2,1
26,4,2,1,1,3,0
3,3,5,2,2,1,2
19,3,3,2,3,3,1
27,4,2,1,1,3,0
16,3,3,2,2,3,1
13,0,4,3,5,1,0
16,3,2,3,2,3,1
21,3,2,2,3,3,1
24,0,5,1,0,1,0
25,4,1,1,1,3,0
13,1,3,5,4,1,2
28,4,2,1,1,3,0
25,3,2,2,2,2,1
5,5,5,3,2,1,2
27,5,5,4,0,0,0
17,2,3,3,2,3,1
29,5,2,1,1,3,0
3,5,5,0,1,1,2
27,5,2,1,1,3,0
17,2,2,2,2,2,1
3,1,5,4,4,1,2
21,2,3,2,2,2,1
14,1,3,4,5,1,2
29,5,2,1,1,3,0
19,3,3,3,2,3,1
22,3,2,3,3,3,1
15,1,3,5,4,1,2
1,1,3,4,4,1,2
25,2,2,3,2,2,1
30,4,1,1,1,3,0
15,2,2,2,3,3,1
30,5,2,1,1,3,0
30,5,1,1,1,3,0
22,2,2,3,2,3,1
15,3,0,3,3,1,1
12,1,3,4,5,1,2
15,3,2,2,3,2,1
30,5,1,1,1,3,0
4,1,4,5,4,1,2
15,2,3,2,3,3,1
30,4,1,1,1,3,0
20,3,3,3,2,3,1
15,3,3,3,3,2,1
25,4,1,1,1,3,0
9,2,2,0,0,1,2
15,3,3,2,2,3,1
29,5,1,1,1,3,0
26,4,2,1,1,3,0
0,1,3,4,4,1,2
15,1,4,4,4,1,2
5,1,5,5,4,1,2
25,3,5,4,4,0,1
25,3,0,4,4,1,0
29,5,1,1,1,3,0
6,1,4,5,4,1,2
22,3,3,2,3,2,1
28,5,1,1,1,3,0
4,3,2,4,3,0,2
13,1,4,4,5,1,2
20,3,2,2,3,2,1
29,5,1,1,1,3,0
16,2,2,2,3,3,1
7,1,3,5,4,1,2
11,5,5,3,1,1,1
21,2,3,2,3,2,1
23,3,3,0,5,0,2
20,3,2,2,2,3,1
17,0,0,5,4,0,2
4,1,5,4,4,1,2
12,1,3,4,4,1,2
